codigo,anio_escolar,grado,asignatura,resultado
20062087,2018-2019,10,Reading and Writing,630
20062087,2018-2019,10,Math,560
20062087,2018-2019,10,Combinado,1190
20092355,2018-2019,10,Reading and Writing,380
20092355,2018-2019,10,Math,380
20092355,2018-2019,10,Combinado,760
20052017,2018-2019,10,Reading and Writing,360
20052017,2018-2019,10,Math,360
20052017,2018-2019,10,Combinado,720
20062018,2018-2019,10,Reading and Writing,660
20062018,2018-2019,10,Math,540
20062018,2018-2019,10,Combinado,1200
20062019,2018-2019,10,Reading and Writing,390
20062019,2018-2019,10,Math,460
20062019,2018-2019,10,Combinado,850
20062020,2018-2019,10,Reading and Writing,410
20062020,2018-2019,10,Math,470
20062020,2018-2019,10,Combinado,880
20062021,2018-2019,10,Reading and Writing,370
20062021,2018-2019,10,Math,480
20062021,2018-2019,10,Combinado,850
20062053,2018-2019,10,Reading and Writing,590
20062053,2018-2019,10,Math,500
20062053,2018-2019,10,Combinado,1090
20181181,2018-2019,10,Reading and Writing,710
20181181,2018-2019,10,Math,620
20181181,2018-2019,10,Combinado,1330
20062022,2018-2019,10,Reading and Writing,510
20062022,2018-2019,10,Math,480
20062022,2018-2019,10,Combinado,990
20072157,2018-2019,10,Reading and Writing,460
20072157,2018-2019,10,Math,450
20072157,2018-2019,10,Combinado,910
20082141,2018-2019,10,Reading and Writing,700
20082141,2018-2019,10,Math,470
20082141,2018-2019,10,Combinado,1170
20150366,2018-2019,10,Reading and Writing,360
20150366,2018-2019,10,Math,400
20150366,2018-2019,10,Combinado,760
20062024,2018-2019,10,Reading and Writing,380
20062024,2018-2019,10,Math,340
20062024,2018-2019,10,Combinado,720
20062025,2018-2019,10,Reading and Writing,440
20062025,2018-2019,10,Math,450
20062025,2018-2019,10,Combinado,890
20120092,2018-2019,10,Reading and Writing,510
20120092,2018-2019,10,Math,480
20120092,2018-2019,10,Combinado,990
20072137,2018-2019,10,Reading and Writing,600
20072137,2018-2019,10,Math,460
20072137,2018-2019,10,Combinado,1060
20072136,2018-2019,10,Reading and Writing,480
20072136,2018-2019,10,Math,440
20072136,2018-2019,10,Combinado,920
20072138,2018-2019,10,Reading and Writing,540
20072138,2018-2019,10,Math,520
20072138,2018-2019,10,Combinado,1060
20062028,2018-2019,10,Reading and Writing,410
20062028,2018-2019,10,Math,430
20062028,2018-2019,10,Combinado,840
20062029,2018-2019,10,Reading and Writing,410
20062029,2018-2019,10,Math,400
20062029,2018-2019,10,Combinado,810
20082245,2018-2019,10,Reading and Writing,450
20082245,2018-2019,10,Math,540
20082245,2018-2019,10,Combinado,990
20062031,2018-2019,10,Reading and Writing,420
20062031,2018-2019,10,Math,380
20062031,2018-2019,10,Combinado,800
20072139,2018-2019,10,Reading and Writing,390
20072139,2018-2019,10,Math,480
20072139,2018-2019,10,Combinado,870
20181195,2018-2019,10,Reading and Writing,490
20181195,2018-2019,10,Math,450
20181195,2018-2019,10,Combinado,940
20062032,2018-2019,10,Reading and Writing,520
20062032,2018-2019,10,Math,550
20062032,2018-2019,10,Combinado,1070
20072140,2018-2019,10,Reading and Writing,510
20072140,2018-2019,10,Math,500
20072140,2018-2019,10,Combinado,1010
20062033,2018-2019,10,Reading and Writing,530
20062033,2018-2019,10,Math,430
20062033,2018-2019,10,Combinado,960
20062034,2018-2019,10,Reading and Writing,460
20062034,2018-2019,10,Math,510
20062034,2018-2019,10,Combinado,970
20062037,2018-2019,10,Reading and Writing,460
20062037,2018-2019,10,Math,440
20062037,2018-2019,10,Combinado,900
20082131,2019-2020,10,Reading and Writing,540
20082131,2019-2020,10,Math,480
20082131,2019-2020,10,Combinado,1020
20062001,2019-2020,10,Reading and Writing,500
20062001,2019-2020,10,Math,440
20062001,2019-2020,10,Combinado,940
20072129,2019-2020,10,Reading and Writing,420
20072129,2019-2020,10,Math,430
20072129,2019-2020,10,Combinado,850
20072001,2019-2020,10,Reading and Writing,390
20072001,2019-2020,10,Math,450
20072001,2019-2020,10,Combinado,840
20062073,2019-2020,10,Reading and Writing,320
20062073,2019-2020,10,Math,450
20062073,2019-2020,10,Combinado,770
20072002,2019-2020,10,Reading and Writing,640
20072002,2019-2020,10,Math,500
20072002,2019-2020,10,Combinado,1140
20082132,2019-2020,10,Reading and Writing,630
20082132,2019-2020,10,Math,490
20082132,2019-2020,10,Combinado,1120
20072003,2019-2020,10,Reading and Writing,590
20072003,2019-2020,10,Math,580
20072003,2019-2020,10,Combinado,1170
20072005,2019-2020,10,Reading and Writing,470
20072005,2019-2020,10,Math,460
20072005,2019-2020,10,Combinado,930
20072004,2019-2020,10,Reading and Writing,500
20072004,2019-2020,10,Math,360
20072004,2019-2020,10,Combinado,860
20181206,2019-2020,10,Reading and Writing,640
20181206,2019-2020,10,Math,500
20181206,2019-2020,10,Combinado,1140
20102278,2019-2020,10,Reading and Writing,530
20102278,2019-2020,10,Math,500
20102278,2019-2020,10,Combinado,1030
20082133,2019-2020,10,Reading and Writing,490
20082133,2019-2020,10,Math,470
20082133,2019-2020,10,Combinado,960
20072007,2019-2020,10,Reading and Writing,440
20072007,2019-2020,10,Math,450
20072007,2019-2020,10,Combinado,890
20072008,2019-2020,10,Reading and Writing,410
20072008,2019-2020,10,Math,510
20072008,2019-2020,10,Combinado,920
20072058,2019-2020,10,Reading and Writing,480
20072058,2019-2020,10,Math,500
20072058,2019-2020,10,Combinado,1030
20082134,2019-2020,10,Reading and Writing,530
20082134,2019-2020,10,Math,450
20082134,2019-2020,10,Combinado,930
20191189,2019-2020,10,Reading and Writing,400
20191189,2019-2020,10,Math,470
20191189,2019-2020,10,Combinado,870
20092256,2019-2020,10,Reading and Writing,550
20092256,2019-2020,10,Math,500
20092256,2019-2020,10,Combinado,1050
20082135,2019-2020,10,Reading and Writing,550
20082135,2019-2020,10,Math,520
20082135,2019-2020,10,Combinado,1070
20170173,2019-2020,10,Reading and Writing,500
20170173,2019-2020,10,Math,400
20170173,2019-2020,10,Combinado,900
20072050,2019-2020,10,Reading and Writing,530
20072050,2019-2020,10,Math,430
20072050,2019-2020,10,Combinado,960
20072009,2019-2020,10,Reading and Writing,570
20072009,2019-2020,10,Math,520
20072009,2019-2020,10,Combinado,1090
20082052,2019-2020,10,Reading and Writing,520
20082052,2019-2020,10,Math,610
20082052,2019-2020,10,Combinado,1130
20102301,2019-2020,10,Reading and Writing,430
20102301,2019-2020,10,Math,450
20102301,2019-2020,10,Combinado,880
20082156,2019-2020,10,Reading and Writing,420
20082156,2019-2020,10,Math,410
20082156,2019-2020,10,Combinado,830
20082159,2019-2020,10,Reading and Writing,520
20082159,2019-2020,10,Math,430
20082159,2019-2020,10,Combinado,950
20072062,2019-2020,10,Reading and Writing,420
20072062,2019-2020,10,Math,440
20072062,2019-2020,10,Combinado,860
20120105,2019-2020,10,Reading and Writing,650
20120105,2019-2020,10,Math,520
20120105,2019-2020,10,Combinado,1090
20092236,2019-2020,10,Reading and Writing,570
20092236,2019-2020,10,Math,520
20092236,2019-2020,10,Combinado,1170
20072010,2019-2020,10,Reading and Writing,410
20072010,2019-2020,10,Math,470
20072010,2019-2020,10,Combinado,880
20072054,2019-2020,10,Reading and Writing,410
20072054,2019-2020,10,Math,480
20072054,2019-2020,10,Combinado,890
20072011,2019-2020,10,Reading and Writing,520
20072011,2019-2020,10,Math,500
20072011,2019-2020,10,Combinado,1020
20130063,2019-2020,10,Reading and Writing,440
20130063,2019-2020,10,Math,470
20130063,2019-2020,10,Combinado,910
20072063,2019-2020,10,Reading and Writing,460
20072063,2019-2020,10,Math,500
20072063,2019-2020,10,Combinado,960
20062017,2019-2020,10,Reading and Writing,410
20062017,2019-2020,10,Math,430
20062017,2019-2020,10,Combinado,840
20181208,2019-2020,10,Reading and Writing,470
20181208,2019-2020,10,Math,450
20181208,2019-2020,10,Combinado,920
20072013,2019-2020,10,Reading and Writing,460
20072013,2019-2020,10,Math,410
20072013,2019-2020,10,Combinado,870
20082174,2019-2020,10,Reading and Writing,390
20082174,2019-2020,10,Math,360
20082174,2019-2020,10,Combinado,750
20072052,2019-2020,10,Reading and Writing,590
20072052,2019-2020,10,Math,530
20072052,2019-2020,10,Combinado,1120
20150375,2019-2020,10,Reading and Writing,490
20150375,2019-2020,10,Math,460
20150375,2019-2020,10,Combinado,950
20072014,2019-2020,10,Reading and Writing,470
20072014,2019-2020,10,Math,460
20072014,2019-2020,10,Combinado,930
20082172,2019-2020,10,Reading and Writing,560
20082172,2019-2020,10,Math,470
20082172,2019-2020,10,Combinado,1030
20082138,2019-2020,10,Reading and Writing,370
20082138,2019-2020,10,Math,450
20082138,2019-2020,10,Combinado,820
20082154,2019-2020,10,Reading and Writing,500
20082154,2019-2020,10,Math,490
20082154,2019-2020,10,Combinado,990
20072015,2019-2020,10,Reading and Writing,610
20072015,2019-2020,10,Math,500
20072015,2019-2020,10,Combinado,1110
20072053,2019-2020,10,Reading and Writing,410
20072053,2019-2020,10,Math,430
20072053,2019-2020,10,Combinado,840
20120097,2019-2020,10,Reading and Writing,500
20120097,2019-2020,10,Math,480
20120097,2019-2020,10,Combinado,980
20161132,2019-2020,10,Reading and Writing,430
20161132,2019-2020,10,Math,470
20161132,2019-2020,10,Combinado,900
20072016,2019-2020,10,Reading and Writing,530
20072016,2019-2020,10,Math,500
20072016,2019-2020,10,Combinado,1030
20072017,2019-2020,10,Reading and Writing,410
20072017,2019-2020,10,Math,450
20072017,2019-2020,10,Combinado,860
20072018,2019-2020,10,Reading and Writing,550
20072018,2019-2020,10,Math,500
20072018,2019-2020,10,Combinado,1050
20082157,2019-2020,10,Reading and Writing,430
20082157,2019-2020,10,Math,470
20082157,2019-2020,10,Combinado,900
20072019,2019-2020,10,Reading and Writing,500
20072019,2019-2020,10,Math,490
20072019,2019-2020,10,Combinado,990
20191192,2019-2020,10,Reading and Writing,580
20191192,2019-2020,10,Math,540
20191192,2019-2020,10,Combinado,1120
20072020,2019-2020,10,Reading and Writing,480
20072020,2019-2020,10,Math,430
20072020,2019-2020,10,Combinado,910
20062030,2019-2020,10,Reading and Writing,420
20062030,2019-2020,10,Math,440
20062030,2019-2020,10,Combinado,860
20092280,2019-2020,10,Reading and Writing,320
20092280,2019-2020,10,Math,340
20092280,2019-2020,10,Combinado,660
20112302,2019-2020,10,Reading and Writing,360
20112302,2019-2020,10,Math,430
20112302,2019-2020,10,Combinado,790
20191098,2019-2020,10,Reading and Writing,470
20191098,2019-2020,10,Math,480
20191098,2019-2020,10,Combinado,950
20072021,2019-2020,10,Reading and Writing,420
20072021,2019-2020,10,Math,450
20072021,2019-2020,10,Combinado,870
20072022,2019-2020,10,Reading and Writing,510
20072022,2019-2020,10,Math,470
20072022,2019-2020,10,Combinado,980
20161097,2019-2020,10,Reading and Writing,470
20161097,2019-2020,10,Math,440
20161097,2019-2020,10,Combinado,910
20072024,2019-2020,10,Reading and Writing,690
20072024,2019-2020,10,Math,650
20072024,2019-2020,10,Combinado,1340
20082142,2019-2020,10,Reading and Writing,570
20082142,2019-2020,10,Math,530
20082142,2019-2020,10,Combinado,1100
20092269,2019-2020,10,Reading and Writing,500
20092269,2019-2020,10,Math,480
20092269,2019-2020,10,Combinado,980
20072026,2019-2020,10,Reading and Writing,500
20072026,2019-2020,10,Math,490
20072026,2019-2020,10,Combinado,990
20181207,2019-2020,10,Reading and Writing,660
20181207,2019-2020,10,Math,470
20181207,2019-2020,10,Combinado,1130
20082143,2019-2020,10,Reading and Writing,470
20082143,2019-2020,10,Math,450
20082143,2019-2020,10,Combinado,920
20082023,2020-2021,10,Reading and Writing,370
20082023,2020-2021,10,Math,680
20082023,2020-2021,10,Combinado,1050
20092159,2020-2021,10,Reading and Writing,510
20092159,2020-2021,10,Math,460
20092159,2020-2021,10,Combinado,970
20150353,2020-2021,10,Reading and Writing,510
20150353,2020-2021,10,Math,550
20150353,2020-2021,10,Combinado,1060
20082002,2020-2021,10,Reading and Writing,550
20082002,2020-2021,10,Math,590
20082002,2020-2021,10,Combinado,1140
20082003,2020-2021,10,Reading and Writing,410
20082003,2020-2021,10,Math,440
20082003,2020-2021,10,Combinado,850
20102276,2020-2021,10,Reading and Writing,560
20102276,2020-2021,10,Math,470
20102276,2020-2021,10,Combinado,1030
20092144,2020-2021,10,Reading and Writing,590
20092144,2020-2021,10,Math,500
20092144,2020-2021,10,Combinado,1090
20092153,2020-2021,10,Reading and Writing,600
20092153,2020-2021,10,Math,680
20092153,2020-2021,10,Combinado,1280
20072059,2020-2021,10,Reading and Writing,370
20072059,2020-2021,10,Math,460
20072059,2020-2021,10,Combinado,830
20082004,2020-2021,10,Reading and Writing,520
20082004,2020-2021,10,Math,750
20082004,2020-2021,10,Combinado,1270
20112303,2020-2021,10,Reading and Writing,460
20112303,2020-2021,10,Math,450
20112303,2020-2021,10,Combinado,910
20082008,2020-2021,10,Reading and Writing,470
20082008,2020-2021,10,Math,500
20082008,2020-2021,10,Combinado,970
20082053,2020-2021,10,Reading and Writing,520
20082053,2020-2021,10,Math,530
20082053,2020-2021,10,Combinado,1050
20082014,2020-2021,10,Reading and Writing,530
20082014,2020-2021,10,Math,620
20082014,2020-2021,10,Combinado,1150
20072051,2020-2021,10,Reading and Writing,480
20072051,2020-2021,10,Math,440
20072051,2020-2021,10,Combinado,920
20082013,2020-2021,10,Reading and Writing,490
20082013,2020-2021,10,Math,590
20082013,2020-2021,10,Combinado,1080
20082010,2020-2021,10,Reading and Writing,430
20082010,2020-2021,10,Math,510
20082010,2020-2021,10,Combinado,940
20092126,2020-2021,10,Reading and Writing,500
20092126,2020-2021,10,Math,490
20092126,2020-2021,10,Combinado,990
20082001,2020-2021,10,Reading and Writing,630
20082001,2020-2021,10,Math,690
20082001,2020-2021,10,Combinado,1320
20191190,2020-2021,10,Reading and Writing,450
20191190,2020-2021,10,Math,610
20191190,2020-2021,10,Combinado,1060
20082016,2020-2021,10,Reading and Writing,490
20082016,2020-2021,10,Math,410
20082016,2020-2021,10,Combinado,900
20082052,2020-2021,10,Reading and Writing,620
20082052,2020-2021,10,Math,730
20082052,2020-2021,10,Combinado,1350
20092127,2020-2021,10,Reading and Writing,480
20092127,2020-2021,10,Math,440
20092127,2020-2021,10,Combinado,920
20092101,2020-2021,10,Reading and Writing,450
20092101,2020-2021,10,Math,580
20092101,2020-2021,10,Combinado,1030
20092181,2020-2021,10,Reading and Writing,460
20092181,2020-2021,10,Math,540
20092181,2020-2021,10,Combinado,1000
20082136,2020-2021,10,Reading and Writing,420
20082136,2020-2021,10,Math,640
20082136,2020-2021,10,Combinado,1060
20092128,2020-2021,10,Reading and Writing,520
20092128,2020-2021,10,Math,410
20092128,2020-2021,10,Combinado,930
20082022,2020-2021,10,Reading and Writing,550
20082022,2020-2021,10,Math,510
20082022,2020-2021,10,Combinado,1060
20092102,2020-2021,10,Reading and Writing,490
20092102,2020-2021,10,Math,460
20092102,2020-2021,10,Combinado,950
20082049,2020-2021,10,Reading and Writing,410
20082049,2020-2021,10,Math,450
20082049,2020-2021,10,Combinado,860
20092130,2020-2021,10,Reading and Writing,640
20092130,2020-2021,10,Math,680
20092130,2020-2021,10,Combinado,1320
20082012,2020-2021,10,Reading and Writing,490
20082012,2020-2021,10,Math,490
20082012,2020-2021,10,Combinado,980
20082021,2020-2021,10,Reading and Writing,510
20082021,2020-2021,10,Math,640
20082021,2020-2021,10,Combinado,1150
20191094,2020-2021,10,Reading and Writing,500
20191094,2020-2021,10,Math,550
20191094,2020-2021,10,Combinado,1050
20082011,2020-2021,10,Reading and Writing,650
20082011,2020-2021,10,Math,670
20082011,2020-2021,10,Combinado,1320
20082098,2020-2021,10,Reading and Writing,490
20082098,2020-2021,10,Math,520
20082098,2020-2021,10,Combinado,1010
20082009,2020-2021,10,Reading and Writing,540
20082009,2020-2021,10,Math,650
20082009,2020-2021,10,Combinado,1190
20082140,2020-2021,10,Reading and Writing,350
20082140,2020-2021,10,Math,380
20082140,2020-2021,10,Combinado,730
20082027,2020-2021,10,Reading and Writing,700
20082027,2020-2021,10,Math,670
20082027,2020-2021,10,Combinado,1370
20082028,2020-2021,10,Reading and Writing,440
20082028,2020-2021,10,Math,590
20082028,2020-2021,10,Combinado,1030
20092131,2020-2021,10,Reading and Writing,580
20092131,2020-2021,10,Math,580
20092131,2020-2021,10,Combinado,1160
20082047,2020-2021,10,Reading and Writing,580
20082047,2020-2021,10,Math,570
20082047,2020-2021,10,Combinado,1150
20082051,2020-2021,10,Reading and Writing,580
20082051,2020-2021,10,Math,500
20082051,2020-2021,10,Combinado,1080
20082025,2020-2021,10,Reading and Writing,640
20082025,2020-2021,10,Math,670
20082025,2020-2021,10,Combinado,1310
20102269,2020-2021,10,Reading and Writing,490
20102269,2020-2021,10,Math,670
20102269,2020-2021,10,Combinado,1160
20092132,2020-2021,10,Reading and Writing,510
20092132,2020-2021,10,Math,430
20092132,2020-2021,10,Combinado,940
20092133,2020-2021,10,Reading and Writing,510
20092133,2020-2021,10,Math,480
20092133,2020-2021,10,Combinado,990
20082017,2020-2021,10,Reading and Writing,570
20082017,2020-2021,10,Math,580
20082017,2020-2021,10,Combinado,1150
20102283,2020-2021,10,Reading and Writing,390
20102283,2020-2021,10,Math,520
20102283,2020-2021,10,Combinado,910
20191097,2020-2021,10,Reading and Writing,630
20191097,2020-2021,10,Math,450
20191097,2020-2021,10,Combinado,1080
